Name,Cuisines,Area,Full_Address,AverageCost,Total Reviews,Total Ratings,Cost Category,Features,Testing Features,bag_of_words
Tandoori Darbar,"north indian, kebab",Behala,"553/A, Diamond Harbour Road, Near Behala Municipal Corporation Office, Behala, Kolkata.",700,5164,4.2,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,north indian kebab homedelivery takeaway indoorseating expensive
Kebabs In Roll,"rolls, kebab, chinese, biryani",Jadavpur,"40/2, Jheel Road, Palbazar, Jadavpur, Kolkata",500,117,4.1,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,rolls kebab chinese biryani homedelivery takeaway indoorseating expensive
Krazy For Chocolates,"bakery, beverages, ice cream, waffle, fast food",South City Mall,"391/123, Prince Anwar Shah Road, Kolkata",200,323,4.3,midrange,homedelivery takeaway  ,homedelivery takeaway midrange,bakery beverages ice cream waffle fast food homedelivery takeaway midrange
Flurys,"bakery, desserts, fast food, coffee",Prince Anwar Shah Road,"345, Prince Anwar Shah Road, Kolkata",300,303,4.3,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,bakery desserts fast food coffee homedelivery takeaway indoorseating midrange
Bijoli Grill,"chinese, biryani, bengali, continental",Golf Green,"8/101, Bijoy Garh, Golf Green, Kolkata",650,1002,3.8,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese biryani bengali continental homedelivery takeaway indoorseating expensive
Banana Leaf @ Komala Vilas,"south indian, beverages",New Alipore,"90/S/2, Block E, New Alipore, Kolkata",300,361,4.0,midrange,homedelivery takeaway vegonly indoorseating,homedelivery takeaway vegonly indoorseating midrange,south indian beverages homedelivery takeaway vegonly indoorseating midrange
Potstickers,"chinese, tibetan, momos",Behala,"14/60, Chanditala Main Road, Behala, Kolkata",500,576,3.5,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese tibetan momos homedelivery takeaway indoorseating expensive
The Brooklyn Creamery - Healthy Ice Cream,"ice cream, desserts",Jodhpur Park,"71, Jodhpur Park, Kolkata",200,20,4.0,midrange,homedelivery   ,homedelivery midrange,ice cream desserts homedelivery midrange
Glacé Patisserie,"desserts, bakery",Tollygunge,"2/1-A/1, Ashok Nagar, Tollygunge, Kolkata",450,748,4.2,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,desserts bakery homedelivery takeaway indoorseating expensive
The Dragon's Kitchen,"chinese, tibetan, momos, thai",Behala,"14/60, Ward 116, Chanditala Main Road, Behala, Kolkata",150,1024,3.4,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,chinese tibetan momos thai homedelivery takeaway cheapeats
Haji Biryani,biryani,Tollygunge,"Niranjan Pally, Regent Park, Bansdroni, Tollygunge, Kolkata",200,10413,3.9,midrange,homedelivery takeaway  ,homedelivery takeaway midrange,biryani homedelivery takeaway midrange
Snehalata Fast Food Center,"chinese, fast food",Thakur Pukur,"326, Mahatma Gandhi Road, Post Office R.C.Thakurani, P.S- Haridebpur, Thakur Pukur, Kolkata",200,255,4.2,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,chinese fast food homedelivery takeaway indoorseating midrange
BBQ Bazaar,"biryani, chinese, north indian, rolls",Garia,"136, Boral Main Road, Garia, Kolkata",350,1301,3.4000000000000004,midrange,homedelivery takeaway  ,homedelivery takeaway midrange,biryani chinese north indian rolls homedelivery takeaway midrange
Belgian Waffle Junction,"desserts, beverages",Tollygunge,"34/22, Netaji Subhas Chandra Bose Road, Ashok Nagar, Tollygunge, Kolkata",400,247,4.0,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,desserts beverages homedelivery takeaway indoorseating midrange
Ganapati Kitchen,"chinese, north indian, fast food, rolls",Behala,"77A, Kali Pada Mukharjee Road, Behala, Kolkata",100,92,3.6,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,chinese north indian fast food rolls homedelivery takeaway cheapeats
Saanvi's Kitchen,"chinese, north indian, south indian, rolls",Golf Green,"210, H.L Sarkar Road, Borough - XI, Golf Green, Kolkata",100,24,3.2000000000000006,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,chinese north indian south indian rolls homedelivery takeaway cheapeats
Suswadhu,"chinese, rolls",Naktala,"6/1, South Raynagar, Bijan Kanan Development Society, Naktala, Kolkata",100,133,3.7,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,chinese rolls homedelivery takeaway cheapeats
How!! Momo,momos,Behala,"345A, First Floor, Astha Apartment, Santosh Roy Road, Sakherbazar, Near Maxx Building, Behala, Kolkata",150,135,3.0,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,momos homedelivery takeaway cheapeats
Hot & Fresh,"continental, north indian, pasta, thai, chinese, momos, biryani, beverages",Garia,"Ramakrishna Nagar, Garia, Kolkata",250,58,3.9,midrange,homedelivery takeaway  ,homedelivery takeaway midrange,continental north indian pasta thai chinese momos biryani beverages homedelivery takeaway midrange
Madhu's Kitchen,"bengali, north indian",Naktala,"1/11, Ram Kantapur, Rc Thakurani, Haridevpur, Kolkata Municipal Corporation, Naktala, Kolkata",100,38,3.6999999999999997,cheapeats,homedelivery   ,homedelivery cheapeats,bengali north indian homedelivery cheapeats
Test Nest,"fast food, chinese, north indian",Thakur Pukur,"152, Mission Anchal, Borough-XI, Thakur Pukur, Kolkata",100,9,0.0,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,fast food chinese north indian homedelivery takeaway cheapeats
Tejpata ,fast food,Naktala,"32, Madhya Para, Naktala, Kolkata",100,14,0.0,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,fast food homedelivery takeaway cheapeats
Cafe Queen,"bengali, chinese, fast food, beverages",Tollygunge,"356/1, Ward 113, Pirpukur Road, Bansdroni, Near Vidyasagar Park, 5th Lane, Tollygunge, Kolkata",100,75,3.5,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,bengali chinese fast food beverages homedelivery takeaway cheapeats
Toungue Lover,"biryani, rolls, fast food, seafood, chinese",Tollygunge,"1/29, Brahmapur Shiv Mandir Road, Tagore Garden, Bandroni, Tollygunge, Kolkata",250,652,3.8999999999999995,midrange,homedelivery takeaway  ,homedelivery takeaway midrange,biryani rolls fast food seafood chinese homedelivery takeaway midrange
Aaj...Ki Menu?,"bengali, fast food",Naktala,"150, B Block, Niranjan Pally, Naktala, Kolkata",100,217,4.0,cheapeats,homedelivery   ,homedelivery cheapeats,bengali fast food homedelivery cheapeats
Coffee N Chill,"fast food, continental, beverages, desserts",Thakur Pukur,"85/1/2, Near Eden Tolly Signature Plus, Ramchandrapur Kabardanga, Thakur Pukur, Kolkata",350,23,0.0,midrange,homedelivery takeaway  ,homedelivery takeaway midrange,fast food continental beverages desserts homedelivery takeaway midrange
Hungry Helpers,"chinese, north indian",Naktala,"Niranjan Pally, B Block, Congress Nagar, Ward 113, Naktala, Kolkata",100,2,0.0,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,chinese north indian homedelivery takeaway cheapeats
Soujannya Panchkori,"bengali, chinese, fast food",Ajoy Nagar,"S/21, Sahid Smriti Colony, Borough 12, Ajoy Nagar, Kolkata",150,19,3.4,cheapeats,homedelivery   ,homedelivery cheapeats,bengali chinese fast food homedelivery cheapeats
Kusum Rolls,rolls,Behala,"6, Diamond Harbour Road, Opposite United Bank Of India, Behala, Kolkata",200,0,0.0,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,rolls homedelivery takeaway indoorseating midrange
Ding Chinese,"chinese, seafood",Ajoy Nagar,"2/53, Mukundapur, Kalikapur, Ward 109, Borough-XII, Ajoy Nagar, Kolkata",250,45,4.0,midrange,homedelivery   ,homedelivery midrange,chinese seafood homedelivery midrange
Nirankari Bharat Jalpan,north indian,Behala,"50/1, Biren Roy Road, Behala, Kolkata",50,21,0.0,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,north indian homedelivery takeaway cheapeats
Mimmim's Kitchen,"north indian, chinese, kebab, rolls, fast food",Naktala,"A41, Satyajit Park, Ward 113, Naktala, Kolkata",350,1142,3.7000000000000006,midrange,homedelivery takeaway  ,homedelivery takeaway midrange,north indian chinese kebab rolls fast food homedelivery takeaway midrange
The Shake Factory,"beverages, desserts, fast food, shake",Tollygunge,"1/18, Netaji Subhash Chandra Bose Road, Ashok Nagar, Tollygunge, Kolkata",400,102,4.3,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,beverages desserts fast food shake homedelivery takeaway indoorseating midrange
L’instant Café,"burger, pizza, asian, fast food, beverages",Golf Green,"18/2/47, Uday Sankar Sarani, Golf Green Urban Complex, Golf Green, Kolkata",650,764,3.6,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,burger pizza asian fast food beverages homedelivery takeaway indoorseating expensive
The Tasty Touchh,"north indian, chinese, pizza, fast food, momos, biryani, kebab",Garia,"Block E 1/10, Baishnabghata Patuli Township, Kadamtala, Garia, Kolkata",600,20,0.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,north indian chinese pizza fast food momos biryani kebab homedelivery takeaway indoorseating expensive
Maa Durga Hotel,kebab,Jadavpur,"Raja S.C Mallick Road, Jadavpur, Kolkata",100,5,0.0,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,kebab homedelivery takeaway cheapeats
Lip Lick - The Food Empire,"north indian, fast food, street food",Jodhpur Park,"37, Gariahat Road-south, Selimpur more, Jodhpur Park, Kolkata",150,53,3.6,cheapeats,homedelivery   ,homedelivery cheapeats,north indian fast food street food homedelivery cheapeats
Bangalir Hensel,bengali,Behala,"24, Ho-Chi-Minh-Sarani, Behala, Kolkata",150,44,4.0,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,bengali homedelivery takeaway cheapeats
Hoboi Fast Food,"chinese, fast food, beverages",Behala,"56, Kajipara Road, Behala, Kolkata",500,15,3.4,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese fast food beverages homedelivery takeaway indoorseating expensive
Wok Tossed,"chinese, fast food",Behala,"62, Parnasree Pally, Road 1, Behala, Kolkata",300,0,0.0,midrange,homedelivery takeaway  ,homedelivery takeaway midrange,chinese fast food homedelivery takeaway midrange
Jeera,"north indian, biryani, chinese",Ruby Hospital Area,"S/29A, Ground Floor, Anandapur Kasba Industrial Estate, Phase-3M, EM By-Pass East, Ward 108, Kolkata Municipal Corporation, Ruby Hospital Area, Kolkata",150,0,0.0,cheapeats,homedelivery   ,homedelivery cheapeats,north indian biryani chinese homedelivery cheapeats
Express O Mugg,"cafe, chinese, north indian, beverages, fast food, shake",Naktala,"174/28/1, Netaji Subhas Chandra Bose Road, Naktala, Kolkata",600,139,3.2999999999999994,expensive,homedelivery   indoorseating,homedelivery indoorseating expensive,cafe chinese north indian beverages fast food shake homedelivery indoorseating expensive
Am 2 Pm,"sandwich, street food, beverages",Naktala,"63, Ground Floor, Manick Bandopadhay, Ward 97, Naktala, Kolkata",100,0,0.0,cheapeats,homedelivery   ,homedelivery cheapeats,sandwich street food beverages homedelivery cheapeats
Kings Fast Food,"biryani, momos, fast food, chinese, kebab",Tara Tala,"61, Upen Banerjee Road, Near Vivekananda Hospital, Tara Tala, Kolkata",150,3,0.0,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,biryani momos fast food chinese kebab homedelivery takeaway cheapeats
Fuddzone,"chinese, north indian",Garia,"1/101, Block D, Baishnabghata Patuli Township, Garia, Kolkata",400,43,3.9,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,chinese north indian homedelivery takeaway indoorseating midrange
Roll House,"fast food, rolls",Baghajatin,"31G Raja SC Mullick Road, Baghajatin, Kolkata",100,0,0.0,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,fast food rolls homedelivery takeaway cheapeats
Anglo Bongs Caffe,"fast food, beverages, sandwich, wraps",Tollygunge,"288, Chakdha Sree Pally, Purbaputiary, Regent Park, Tollygunge, Kolkata",300,114,3.8,midrange,homedelivery   ,homedelivery midrange,fast food beverages sandwich wraps homedelivery midrange
Cafe Elio,"chinese, fast food, pasta, sandwich",Jadavpur,"80/2F, Bade Raipur Road, Anandapally, Ward 96, Jadavpur, Kolkata",450,26,0.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese fast food pasta sandwich homedelivery takeaway indoorseating expensive
Heavenly Bites,"desserts, sandwich, biryani",Naktala,"150 Niranjan Pally, Block B, Naktala, Kolkata",250,68,4.3,midrange,homedelivery   ,homedelivery midrange,desserts sandwich biryani homedelivery midrange
Nu Sagar,"biryani, bengali",Baghajatin,"32 Madhya Para, Bansdroni, Baghajatin, Kolkata",250,0,0.0,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,biryani bengali homedelivery takeaway indoorseating midrange
Foodi Mood Kitchen,"chinese, fast food",Naktala,"268, Harisava Math, P-78/1, Usha Park, Brahmapur, Naktala, Kolkata",100,5,0.0,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,chinese fast food homedelivery takeaway cheapeats
Hungry Owls,"chinese, momos",Naktala,"96, Chirantani Park, 333B Bansdroni Road, Ward-113, bansdroni road, Naktala, Kolkata",250,0,0.0,midrange,homedelivery   ,homedelivery midrange,chinese momos homedelivery midrange
Dasu's Kitchen,"chinese, north indian, fast food",Tollygunge,"1/36, Netaji Nagar, Tollygunge, Kolkata",200,2,0.0,midrange,homedelivery   ,homedelivery midrange,chinese north indian fast food homedelivery midrange
Maa Er Swad,"bengali, rolls",Baghajatin,"4/112/B, Vidyasagar Colony, Ganguly Bagan, Baghajatin, Kolkata",100,3,0.0,cheapeats,homedelivery   ,homedelivery cheapeats,bengali rolls homedelivery cheapeats
Chandrani Kitchen,bengali,Jadavpur,"9A, Central Road, Jadavpur, Kolkata",100,18,0.0,cheapeats,homedelivery   ,homedelivery cheapeats,bengali homedelivery cheapeats
Buddy Bites,"chinese, rolls, kebab, momos",Santoshpur,"157, Santoshpur, Kolkata",150,6,0.0,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,chinese rolls kebab momos homedelivery takeaway cheapeats
Bhojon Bilashi,"south indian, chinese",Jadavpur,"59/A, Raja Subodh Chandra Road, Bapuji Nagar, Jadavpur, Kolkata",250,25,3.5,midrange,homedelivery takeaway  ,homedelivery takeaway midrange,south indian chinese homedelivery takeaway midrange
South Indian Kitchen,"south indian, sandwich, street food",Ajoy Nagar,"1756, Chak Garia 1, Santi Park, Opposite Peerless Hospital Main Gate, Ajoy Nagar, Kolkata",150,0,0.0,cheapeats,homedelivery   ,homedelivery cheapeats,south indian sandwich street food homedelivery cheapeats
Akash Kitchen,"north indian, chinese, bengali",Behala,"96, Near Shitala Mandir, Motilal Gupta Road, Behala, Kolkata",450,117,4.0,expensive,homedelivery   indoorseating,homedelivery indoorseating expensive,north indian chinese bengali homedelivery indoorseating expensive
Dunes Cafe,"chinese, pizza, fast food",Garia,"1/6, Block H, Baishnabghata Patuli Township, Garia, Kolkata",300,56,0.0,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,chinese pizza fast food homedelivery takeaway indoorseating midrange
Standard Delivery,"bengali, north indian",Naktala,"6/6, Vidyasagar Park, Pirpukur Road, Bansdroni, Naktala, Kolkata",100,110,4.1,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,bengali north indian homedelivery takeaway cheapeats
Afreen Biriyani House,biryani,Thakur Pukur,"Near Kabardanga More, Mahatma Gandhi Road, Ramchandrapur, Thakur Pukur, Kolkata",100,5,4.0,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,biryani homedelivery takeaway cheapeats
Y.A.K Junction,fast food,Park Circus Area,"Ground Floor, Ward 60, BR 6, 21/H/8, Jannagar Road, Park Circus Area, Kolkata",100,28,4.0,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,fast food homedelivery takeaway cheapeats
Mouchak,bengali,Behala,"15/2, Banomali Ghosal Lane, Behala, Kolkata",200,274,4.3,midrange,homedelivery takeaway  ,homedelivery takeaway midrange,bengali homedelivery takeaway midrange
Vinayak Kitchen,"chinese, fast food",Alipore,"29/3D, Chetla Central Road, Near Petrol Pump, Alipore, Kolkata",100,230,4.5,cheapeats,homedelivery   ,homedelivery cheapeats,chinese fast food homedelivery cheapeats
Bowl Full - Globe In A Bowl,"asian, north indian",Santoshpur,"1050/1, Survey Park, UNS-77, Unnayan, Ward 109, Santoshpur, Kolkata",200,41,3.5999999999999996,midrange,homedelivery   ,homedelivery midrange,asian north indian homedelivery midrange
Chicken X,fast food,Thakur Pukur,"533/ 1, Mahatma Gandhi Road, Borough-X III, Kolkata Thakur Pukur, Kolkata",100,3,0.0,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,fast food homedelivery takeaway cheapeats
Sheesha Zone,"fast food, chinese, north indian, kebab",Park Circus Area,"27/1A, Rameshwar Shaw Road, Beniapukur, Park Circus Area, Kolkata",500,10,0.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,fast food chinese north indian kebab homedelivery takeaway indoorseating expensive
AG's Burger,"kebab, burger, fast food",Naktala,"14Q, Naktala Road, Naktala, Kolkata",500,83,4.0,expensive,homedelivery takeaway  ,homedelivery takeaway expensive,kebab burger fast food homedelivery takeaway expensive
Miraz,"chinese, rolls, north indian",Tollygunge,"3/73, Azadgarh, Borough X, Tollygunge, Kolkata",100,64,4.3,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,chinese rolls north indian homedelivery takeaway cheapeats
Mini Box Fast Food Centre,"chinese, fast food, rolls",Golf Green,"42, Ground Floor, Graham Road, Golf Green, Kolkata",100,3,0.0,cheapeats,homedelivery   ,homedelivery cheapeats,chinese fast food rolls homedelivery cheapeats
Fusion Asian Kitchen,"chinese, north indian, south indian",Jadavpur,"5/2, Central Road, Jadavpur, Kolkata",250,21,0.0,midrange,homedelivery   ,homedelivery midrange,chinese north indian south indian homedelivery midrange
Swader Raja,"bengali, north indian, mughlai, chinese",Jodhpur Park,"135, Lake Gardens, Jodhpur Park, Kolkata",150,560,3.7,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,bengali north indian mughlai chinese homedelivery takeaway cheapeats
Binod Chinese,"fast food, chinese",Behala,"11A, Sourin Roy Road, Behala, Kolkata",100,4,0.0,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,fast food chinese homedelivery takeaway cheapeats
The Walking Street,"sandwich, burger, beverages, rolls, fast food",Metropolis Mall,"1925, Chak Garia, Metropolis Mall, Highland Park, Santoshpur, Kolkata",500,8,0.0,expensive,homedelivery takeaway  ,homedelivery takeaway expensive,sandwich burger beverages rolls fast food homedelivery takeaway expensive
Singh & Son's Kitchen,"biryani, south indian",Tollygunge,"129, Graham Road, Tollygunge, Kolkata",100,4,0.0,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,biryani south indian homedelivery takeaway cheapeats
WOW! Momo On Wheels,"momos, fast food, tibetan",Kalighat,"Kalighat Metro Station, Rash Behari Avenue Road, Kalighat, Kolkata",200,1822,4.0,midrange,homedelivery takeaway  ,homedelivery takeaway midrange,momos fast food tibetan homedelivery takeaway midrange
Kwality Wall’s Frozen Dessert and Ice Cream Shop,"ice cream, desserts",Dhakuria,"117 B, Selimpore Road, Ward 92, Dhakuria, Kolkata",100,149,4.5,cheapeats,homedelivery  vegonly ,homedelivery vegonly cheapeats,ice cream desserts homedelivery vegonly cheapeats
Kathleen,"bakery, desserts, fast food",Tollygunge,"14, Regent Palace, Ranikuthi, Tollygunge, Kolkata",50,363,4.0,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,bakery desserts fast food homedelivery takeaway cheapeats
Hindusthan Sweets,"mishti, street food, desserts",Jadavpur,"58/1, Central Road, Near 8B Bus Stand, Jadavpur, Kolkata",50,2116,4.2,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,mishti street food desserts homedelivery takeaway cheapeats
Flurys,"bakery, desserts, fast food, coffee",Tollygunge,"174/1/2, NSC Bose Road, Netaji Nagar, Tollygunge, Kolkata",300,164,4.300000000000001,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,bakery desserts fast food coffee homedelivery takeaway indoorseating midrange
Cafe Drifter,"cafe, italian, fast food",Baghajatin,"E/1, 19, Baghajatin Station Road, Ajanta Park, Baghajatin, Kolkata",600,1753,3.6,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,cafe italian fast food homedelivery takeaway indoorseating expensive
Millie's,"bakery, desserts, fast food, beverages, shake",Elgin,"16 B, Sarat Bose Road, Elgin, Kolkata",500,258,4.099999999999999,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,bakery desserts fast food beverages shake homedelivery takeaway indoorseating expensive
The New My Club,"chinese, north indian",Gariahat,"196/2, Near Basanti Devi College, Gariahat, Kolkata",400,527,4.3,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,chinese north indian homedelivery takeaway indoorseating midrange
Parantha Point,north indian,Bhawanipur,"8A, Priyanath Mullick Road, Bhawanipur, Kolkata",300,2731,4.0,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,north indian homedelivery takeaway indoorseating midrange
Sattvic,north indian,Gariahat,"13/5, Anil Maitra Road, Gariahat, Kolkata",100,0,0.0,cheapeats,homedelivery   ,homedelivery cheapeats,north indian homedelivery cheapeats
Bengal Hotel,"north indian, biryani, fast food",Behala,"280, Diamond Harbour Road, Opposite 14 Bus Stop, Behala, Kolkata",300,1760,3.7,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,north indian biryani fast food homedelivery takeaway indoorseating midrange
Binod Stores,"fast food, chinese",New Alipore,"68/1, Borough- IX, Kolkata Municipal Corporation, New Alipore, Kolkata",100,1,0.0,cheapeats,homedelivery   ,homedelivery cheapeats,fast food chinese homedelivery cheapeats
Comida Casera La Casera,"sandwich, kebab, fast food, beverages, shake",Garia,"Garia Station Road, Kaitala, Koyal Para, Narendrapur, Ward 29, Garia, Kolkata",150,17,2.9,cheapeats,homedelivery   ,homedelivery cheapeats,sandwich kebab fast food beverages shake homedelivery cheapeats
Faloodah,"desserts, beverages, ice cream",Lake Market Area,"104, Rash Behari Avenue, Lake Market Area, Kolkata",350,1,0.0,midrange,homedelivery takeaway  ,homedelivery takeaway midrange,desserts beverages ice cream homedelivery takeaway midrange
Watami Kitchen,biryani,Behala,"22/2, Chanditola, Main Road, Near Sridi Post Office, Behala, Kolkata",150,0,0.0,cheapeats,homedelivery   ,homedelivery cheapeats,biryani homedelivery cheapeats
TASTE OF CHENNAI,south indian,Hazra,"Shop 12, Ground Floor, 53, S.P. Mukherjee Road, Hazra, Kolkata",250,29,0.0,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,south indian homedelivery takeaway indoorseating midrange
Coolfi Ice Cream,ice cream,Kasba,"6/A, Baikuntha Ghosh Road, Kasba, Kolkata",50,5,0.0,cheapeats,homedelivery   ,homedelivery cheapeats,ice cream homedelivery cheapeats
Boss's Kitchen,"biryani, north indian",Behala,"17B, Sashi Bhusan Mukherjee Road, Behala, Kolkata",200,411,3.5,midrange,homedelivery takeaway  ,homedelivery takeaway midrange,biryani north indian homedelivery takeaway midrange
New Bangla Khabar,bengali,New Alipore,"24, Ward 117, Malakar Para Road, New Alipore, Kolkata",100,4,0.0,cheapeats,homedelivery   ,homedelivery cheapeats,bengali homedelivery cheapeats
Sree Durga Sweets,"street food, mishti",Behala,"9/9, Diamond Harbour Road, Behala, Kolkata",250,3,0.0,midrange,homedelivery takeaway vegonly ,homedelivery takeaway vegonly midrange,street food mishti homedelivery takeaway vegonly midrange
Ace Of Spicez,chinese,Garia,"B-42, Garia Park, Near Garia, Kolkata",200,56,3.8,midrange,homedelivery takeaway  ,homedelivery takeaway midrange,chinese homedelivery takeaway midrange
Sai Vada Pav Centre,"fast food, street food",Tollygunge,"62, 3rd Floor, New Market, Jangrahatiara 2, Near Karunamoyee Ghat, Tollygunge, Kolkata",100,0,0.0,cheapeats,homedelivery   ,homedelivery cheapeats,fast food street food homedelivery cheapeats
Midnight Cravings,north indian,Tollygunge,"91A/18, BL Saha Road, Tollygunge, Kolkata",150,25,3.1,cheapeats,homedelivery   ,homedelivery cheapeats,north indian homedelivery cheapeats
New Everest,"chinese, tibetan",Garia,"3, Boral Main Road, Garia, Kolkata",150,113,4.1,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,chinese tibetan homedelivery takeaway cheapeats
Sutanuti,bengali,Behala,"101/2, Roybahadur Road, Behala, Kolkata",150,0,0.0,cheapeats,homedelivery   ,homedelivery cheapeats,bengali homedelivery cheapeats
Thalaivaa The Taste Of South,south indian,Jadavpur,"15/1b, Central Road, Ground Floor, Jadavpur, Kolkata",100,0,0.0,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,south indian homedelivery takeaway cheapeats
Big Chili Bong,"chinese, north indian, rolls, biryani",Santoshpur,"Shaid Smriti Colony, Hiland Park, Near Sammiloni College, Santoshpur, Kolkata",150,0,0.0,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,chinese north indian rolls biryani homedelivery takeaway cheapeats
Tripti Fast Food Centre,"fast food, biryani",Garia,"1133, Near Boalia friends club, Boalia, Garia, Kolkata",50,0,0.0,cheapeats,homedelivery   ,homedelivery cheapeats,fast food biryani homedelivery cheapeats
Soo Drinky,"shake, beverages",Garia,"3817, Garia Station Road, Opposite Barada Prasad High School, Garia, Kolkata",250,0,0.0,midrange,homedelivery   ,homedelivery midrange,shake beverages homedelivery midrange
Baraf,"north indian, chinese",The Last Metro,"1518, Garia Main Road, Near Kavi Nazrul Metro, Garia, Kolkata",1000,323,3.2999999999999994,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,north indian chinese homedelivery takeaway indoorseating expensive
Hot Lips,"chinese, bengali, north indian, biryani",Behala,"182, Om Tower, Ho Chi Minh Sarani, Behala, Kolkata",500,8731,3.8999999999999995,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese bengali north indian biryani homedelivery takeaway indoorseating expensive
Cafelogy,"north indian, chinese, fast food, shake",Behala,"H1/1, Phase 1, Sarsuna Housing Estate, Behala, Kolkata",350,2340,4.2,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,north indian chinese fast food shake homedelivery takeaway indoorseating midrange
Asit Snacks Bar,"chinese, north indian, mughlai, biryani",Behala,"349, Ho Chi Minh Sarani, Behala, Kolkata",500,14507,4.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese north indian mughlai biryani homedelivery takeaway indoorseating expensive
Daily Shass,"fast food, wraps, sandwich, beverages, shake",Behala,"10/6/1, James Long Sarani, Near Barisha Uchha Balika Vidyamandir, Behala, Kolkata",500,93,3.6,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,fast food wraps sandwich beverages shake homedelivery takeaway indoorseating expensive
Biswas Mistanna Bhander,"mishti, street food",Behala,"1, Shyamsunder Pally, Biren Roy Road, Shakuntala Park, Behala, Kolkata",50,11600,4.0,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,mishti street food homedelivery takeaway cheapeats
